breeze: бриз
glimpse: мимолётный взгляд
wander: бродить
fascinate: очаровывать
sparkle: сверкать
whisper: шептать
dazzle: ослеплять
reckon: полагать
flicker: мерцать
glow: сиять
venture: осмелиться
soar: взмывать
echo: отдаваться эхом
murmur: бормотать
thrill: возбуждать
wanderlust: тяга к путешествиям
haze: мгла
glimmer: проблеск
linger: задерживаться
flick: щёлкать
embrace: принимать
hesitate: колебаться
overcome: преодолевать
reveal: раскрывать
conceal: скрывать
assume: предполагать
pursue: стремиться
withdraw: отступать
retain: сохранять
dismiss: отвергать
highlight: подчёркивать
enhance: улучшать
undermine: подрывать
withstand: выдерживать
allocate: распределять
justify: оправдывать
acknowledge: признавать
anticipate: предвидеть
convey: передавать
cope: справляться
derive: извлекать
encounter: сталкиваться
establish: устанавливать
modify: изменять
perceive: воспринимать
resolve: решать
sustain: поддерживать
trigger: вызывать
interpret: интерпретировать
verify: проверять
adapt: адаптироваться
assert: утверждать
clarify: прояснять
comply: соблюдать
constrain: ограничивать
expand: расширять
fluctuate: колебаться
illustrate: иллюстрировать
imply: подразумевать
maintain: поддерживать
negotiate: договариваться
prioritize: расставлять приоритеты
reinforce: усиливать
reluctant: неохотный
subtle: тонкий
temporary: временный
ultimate: конечный
vague: расплывчатый
viable: жизнеспособный
